ID,title,year,artist,writer,sentence
91,소원을 말해봐 (Genie),2010,소녀시대 (GIRLS' GENERATION),"Anne Judith Wik, Nermin Harambasic, Robin Jenssen, Ronny Svendsen, 유영진",그래요 난 널 사랑해 언제나 믿어 꿈도 열정도 다 주고 싶어
92,The Boys,2011,소녀시대 (GIRLS' GENERATION),유영진,겁이 나서 시작조차 안 해 봤다면 그댄 투덜대지 마라 좀!
93,I GOT A BOY,2013,소녀시대 (GIRLS' GENERATION),유영진,"나, 깜짝! 멘붕이야! 그 사람은 내 민 낯이 궁금하대"
94,Lion Heart,2015,소녀시대 (GIRLS' GENERATION),"1월 8일, 최소영(Jam Factory), Joy Factory",수백 번 밀어내야 했는데 수천 번 널 떠나야 했는데
95,All Night,2017,소녀시대 (GIRLS' GENERATION),Kenzie,사랑이란 건 정해진 것 없어 흘러 넘치는 대로 가자 허니
96,FOREVER 1,2022,소녀시대 (GIRLS' GENERATION),Kenzie,네가 머문 이 세상이 더 아름다운 건 겁 없이 외치던 말 '사랑해 너를' 영원하기에
97,오늘부터 우리는 (Me gustas tu),2015,여자친구(GFRIEND),"임수호, 용배",널 향한 설레임을 오늘부터 우리는 꿈꾸며 기도하는 오늘부터 우리는
98,유리구슬 (Glass Bead),2015,여자친구(GFRIEND),"이기용배, 임수호, 서용배(TENTEN)",투명한 유리구슬처럼 보이지만 그렇게 쉽게 깨지진 않을 거야
99,LOL,2016,여자친구(GFRIEND),김이나,내가 보여 줄 놀라운 세상의 반의 반의 반도 넌 못 본거야
100,너 그리고 나 (NAVILLERA),2016,여자친구(GFRIEND),"임수호, 용배",나비처럼 날아 나나나 나빌레라 바람아 바람아 불어라
101,물꽃놀이,2016,여자친구(GFRIEND),"오레오, C-no, 웅킴, 임수호",여름날에 쏟아지는 파도 그 안에서 출렁이는 바다 물꽃처럼
102,시간을 달려서 (Rough),2016,여자친구(GFRIEND),"임수호, 용배",시간을 달려서 어른이 될 수만 있다면 거친 세상 속에서 손을 잡아줄게
103,밤 (Time for the moon night),2018,여자친구(GFRIEND),노주환,떨려오는 별빛 반짝이는데 넌 어디를 보고 있는지
104,휘리휘리 (Flower Garden),2018,여자친구(GFRIEND),미오(MIO),피고 지는 계절의 꽃 세상의 모든 꿈들이 흩날리는 꽃잎처럼
105,교차로 (Crossroads),2020,여자친구(GFRIEND),노주환,안돼 아직 모든 게 너로 가득해 아직 어디도 못 가겠어
106,Complete (널 만난 순간),2018,온앤오프 (ONF),황현(MonoTree),믿을지 모르겠지만 네가 있어야만 내가 완성돼
107,Moscow Moscow,2019,온앤오프 (ONF),"황현(MonoTree), GDLO(MonoTree)",어쩌면 우린 아주 오래전에 마법에 홀려 기억을 뺏겼을지도
108,사랑하게 될 거야 (We Must Love),2019,온앤오프 (ONF),황현(MonoTree),넌 날 사랑하게 될 거야 난 너의 전부가 되고 말 거니까
109,Beautiful Beautiful,2021,온앤오프 (ONF),"황현(MonoTree), 와이엇(Wyatt)",모두의 마음엔 은하수가 있어서 어둠을 이겨낼 땐 눈물이 흘러
110,Show Must Go On,2021,온앤오프 (ONF),"GDLO(MonoTree), 황현(MonoTree), 민균, 와이엇(Wyatt)",별이 켜진다 저 까만 도화지 위에 설레는 내 맘을 전부 그려줘
111,꿈꾸는 마음으로,2018,우주소녀,"진리(Full8loom), 엑시(우주소녀)",꿈꾸는 마음으로 꿈꾸던 네 품으로 가 난 안되면 되게 해
112,르네상스,2018,우주소녀,"서지음, 엑시(우주소녀)",내 가장 아름다운 시절 그 이름은 너야
113,이루리,2019,우주소녀,"D'Day, 비오(B.O.), KZ, 엑시(우주소녀)",이루어지길 너의 소원 다 나에겐 말해 들어줄게
114,9와 4분의 3 승강장에서 너를 기다려 (Run Away),2019,투모로우바이투게더,"Slow Rabbit, Supreme Boi, Melanie Joy Fontana, Michel 'Lindgren' Schulz, Andreas Carlsson, 방시혁, Pauline Skött, Peter St. James","그럴 땐, 눈물이 날 땐 내 손을 꽉 잡아, 도망갈까?"
115,디어 스푸트니크,2021,투모로우바이투게더,"EL CAPITXN, 휴닝카이, 방시혁, Andy Love, danke, Gabriel Brandes, Matt Thomson, Max Lynedoch Graham, Ronnie Icon, 태현, 김선오, 1월 8일, 김보은(Jam factory), 송재경",수없이 우주를 돌아 마침내 겹친 궤도야 기적같이 만난 거야
116,LO$ER=LO♡ER,2021,투모로우바이투게더,"Slow Rabbit, 방시혁, Andy Love, LIL 27 CLUB, Billy Walsh, Louis Bell, Daniel Caesar, Oneye, 연준, Moa 'Cazzi Opeia' Carlebecker, Alex Karlsson, Ronnie Icon, 황인찬, 정진우",네 손을 잡은 내 손 상처뿐이지만 It doesn't matter when I'm with you
117,물수제비,2023,투모로우바이투게더,"한로로, 진동욱, Maiz, Revin",상처를 집어삼킨 물은 언젠가 잠잠해져 넓은 품을 갖게 될 테니
118,내일에서 기다릴게 (I'll See You There Tomorrow),2024,투모로우바이투게더,"Lewis Jankel, Uzoechi Emenike, 연준, 김인형, Ellie Suh(153/Joombas), Maiz, 이이진, 방시혁, 휴닝카이, 태현, 전지은, danke, 스텔라장(Stella Jang)",황금빛 너의 머릿결 땜에 빛나는 밀밭을 사랑하듯
119,Deja vu,2024,투모로우바이투게더,"방시혁, Slow Rabbit, Martín, Supreme Boi, Ryan Lawrie, Moa ""Cazzi Opeia"" Carlebecker, Ellen Berg, JAMES, Score(13), Megatone(13)",약속해 몇 번을 반복해도 나의 미래는 너야
120,Miracle (기적은 너와 내가 함께하는 순간마다 일어나고 있어),2024,투모로우바이투게더,"Slow Rabbit, 방시혁, JAMES, 수빈, Supreme Boi, 연준, Martín, 태현, Maiz, Kristine Bogan, Ido Nadjar, Kirat Singh, Leon Palmen, Sophia Brenan, Mathi Wang, Nick Hahn, 휴닝카이",삐끗할 수 있지 어때 뭐 네가 잡을 테지 나의 손
121,Quarter Life,2024,투모로우바이투게더,"Jordan Shaw, Alexander Shilov, Steve Manovski, 방시혁, Chester Krupa Carbone, 황유빈(XYXX), 태현, danke, Ellie Suh(153/Joombas), 수빈, 나정아 (153/Joombas)",어디로 가야 하는 건지 모르겠지만 걷는 거지 당장은 좀 깜깜해도 헤매듯 헤쳐나가
122,Blue Orangeade,2019,투모로우바이투게더,"Slow Rabbit, Moonshine, Cazzi Opeia, Ellen Berg, Supreme Boi",우린 정 반대인 거야 그래서 더 특별한 거야
123,Our Summer,2019,투모로우바이투게더,"The Futuristics, Delacey, Jesse St John, Shae Jacobs, 방시혁, ADORA",눈 앞에 펼쳐진 건 우윳빛 은하수 피어난 금빛 계절
